Date,Open,High,Low,Close*
"Aug 07, 2023","19,576.85","19,620.45","19,524.80","19,597.30"
"Aug 04, 2023","19,462.80","19,538.85","19,436.45","19,517.00"
"Aug 03, 2023","19,463.75","19,537.65","19,296.45","19,381.65"
"Aug 02, 2023","19,655.40","19,678.25","19,423.55","19,526.55"
"Aug 01, 2023","19,784.00","19,795.60","19,704.60","19,733.55"
"Jul 31, 2023","19,666.35","19,772.75","19,597.60","19,753.80"
"Jul 28, 2023","19,659.75","19,695.90","19,563.10","19,646.05"
"Jul 27, 2023","19,850.90","19,867.55","19,603.55","19,659.90"
"Jul 26, 2023","19,733.35","19,825.60","19,716.70","19,778.30"
"Jul 25, 2023","19,729.35","19,729.35","19,615.95","19,680.60"
"Jul 24, 2023","19,748.45","19,782.75","19,658.30","19,672.35"
"Jul 21, 2023","19,800.45","19,887.40","19,700.00","19,745.00"
"Jul 20, 2023","19,831.70","19,991.85","19,758.40","19,979.15"
"Jul 19, 2023","19,802.95","19,851.70","19,727.45","19,833.15"
"Jul 18, 2023","19,787.50","19,819.45","19,690.20","19,749.25"
"Jul 17, 2023","19,612.15","19,731.85","19,562.95","19,711.45"
"Jul 14, 2023","19,493.45","19,595.35","19,433.50","19,564.50"
"Jul 13, 2023","19,495.20","19,567.00","19,385.80","19,413.75"
"Jul 12, 2023","19,497.45","19,507.70","19,361.75","19,384.30"
"Jul 11, 2023","19,427.10","19,515.10","19,406.45","19,439.40"
"Jul 10, 2023","19,400.35","19,435.85","19,327.10","19,355.90"
"Jul 07, 2023","19,422.80","19,523.60","19,303.60","19,331.80"
"Jul 06, 2023","19,385.70","19,512.20","19,373.00","19,497.30"
"Jul 05, 2023","19,405.95","19,421.60","19,339.60","19,398.50"
"Jul 04, 2023","19,406.60","19,434.15","19,300.00","19,389.00"
"Jul 03, 2023","19,246.50","19,345.10","19,234.40","19,322.55"
"Jun 30, 2023","19,076.85","19,201.70","19,024.60","19,189.05"
"Jun 28, 2023","18,908.15","19,011.25","18,861.35","18,972.10"
"Jun 27, 2023","18,748.55","18,829.25","18,714.25","18,817.40"
"Jun 26, 2023","18,682.35","18,722.05","18,646.70","18,691.20"
"Jun 23, 2023","18,741.85","18,756.40","18,647.10","18,665.50"
"Jun 22, 2023","18,853.60","18,886.60","18,759.50","18,771.25"
"Jun 21, 2023","18,849.40","18,875.90","18,794.85","18,856.85"
"Jun 20, 2023","18,752.35","18,839.70","18,660.65","18,816.70"
"Jun 19, 2023","18,873.30","18,881.45","18,719.15","18,755.45"
"Jun 16, 2023","18,723.30","18,864.70","18,710.50","18,826.00"
"Jun 15, 2023","18,774.45","18,794.10","18,669.05","18,688.10"
"Jun 14, 2023","18,744.60","18,769.70","18,690.00","18,755.90"
"Jun 13, 2023","18,631.80","18,728.90","18,631.80","18,716.15"
"Jun 12, 2023","18,595.05","18,633.60","18,559.75","18,601.50"
"Jun 09, 2023","18,655.90","18,676.65","18,555.40","18,563.40"
"Jun 08, 2023","18,725.35","18,777.90","18,615.60","18,634.55"
"Jun 07, 2023","18,665.60","18,738.95","18,636.00","18,726.40"
"Jun 06, 2023","18,600.80","18,622.75","18,531.60","18,599.00"
"Jun 05, 2023","18,612.00","18,640.15","18,582.80","18,593.85"
"Jun 02, 2023","18,550.85","18,573.70","18,478.40","18,534.10"
"Jun 01, 2023","18,579.40","18,580.30","18,464.55","18,487.75"
"May 31, 2023","18,594.20","18,603.90","18,483.85","18,534.40"
"May 30, 2023","18,606.65","18,662.45","18,575.50","18,633.85"
"May 29, 2023","18,619.15","18,641.20","18,581.25","18,598.65"
"May 26, 2023","18,368.35","18,508.55","18,333.15","18,499.35"
"May 25, 2023","18,268.90","18,338.10","18,202.40","18,321.15"
"May 24, 2023","18,294.80","18,392.60","18,262.95","18,285.40"
"May 23, 2023","18,362.90","18,419.75","18,324.20","18,348.00"
"May 22, 2023","18,201.10","18,335.25","18,178.85","18,314.40"
"May 19, 2023","18,186.15","18,218.10","18,060.40","18,203.40"
"May 18, 2023","18,287.50","18,297.20","18,104.85","18,129.95"
"May 17, 2023","18,300.45","18,309.00","18,115.35","18,181.75"
"May 16, 2023","18,432.35","18,432.35","18,264.35","18,286.50"
"May 15, 2023","18,339.30","18,458.90","18,287.90","18,398.85"
"May 12, 2023","18,273.75","18,342.75","18,194.55","18,314.80"
"May 11, 2023","18,357.80","18,389.70","18,270.40","18,297.00"
"May 10, 2023","18,313.60","18,326.75","18,211.95","18,315.10"
"May 09, 2023","18,303.40","18,344.20","18,229.65","18,265.95"
"May 08, 2023","18,120.60","18,286.95","18,100.30","18,264.40"
"May 05, 2023","18,117.30","18,216.95","18,055.45","18,069.00"
"May 04, 2023","18,081.00","18,267.45","18,066.70","18,255.80"
"May 03, 2023","18,113.80","18,116.35","18,042.40","18,089.85"
"May 02, 2023","18,124.80","18,180.25","18,101.75","18,147.65"
"Apr 28, 2023","17,950.40","18,089.15","17,885.30","18,065.00"
"Apr 27, 2023","17,813.10","17,931.60","17,797.90","17,915.05"
"Apr 26, 2023","17,767.30","17,827.75","17,711.20","17,813.60"
"Apr 25, 2023","17,761.55","17,807.45","17,716.85","17,769.25"
"Apr 24, 2023","17,707.55","17,754.50","17,612.50","17,743.40"
"Apr 21, 2023","17,639.75","17,663.20","17,553.95","17,624.05"
"Apr 20, 2023","17,638.60","17,684.45","17,584.35","17,624.45"
"Apr 19, 2023","17,653.35","17,666.15","17,579.85","17,618.75"
"Apr 18, 2023","17,766.60","17,766.60","17,610.20","17,660.15"
"Apr 17, 2023","17,863.00","17,863.00","17,574.05","17,706.85"
"Apr 13, 2023","17,807.30","17,842.15","17,729.65","17,828.00"
"Apr 12, 2023","17,759.55","17,825.75","17,717.25","17,812.40"
"Apr 11, 2023","17,704.80","17,748.75","17,655.15","17,722.30"
"Apr 10, 2023","17,634.90","17,694.10","17,597.95","17,624.05"
"Apr 06, 2023","17,533.85","17,638.70","17,502.85","17,599.15"
